RowType,Level,Controller,Trajectory,Condition,Traj_Cond,RunID,Repeat,RandomizationRank,UniqueKey,Completed,AttemptCount,Status,ExecutionTime_s,SimulatedDuration_s,RTF,StartTimestamp,EndTimestamp,ErrorIdentifier,ErrorMessage,SummaryRepresentative,ExecutionMean_s,ExecutionStd_s,ExecutionMedian_s,ExecutionCV_pct,ExecutionCI95Low_s,ExecutionCI95High_s,RTFMean,RTFStd,NormalityP_Log,BrownForsytheP_Log,Comparison_vs_L3,WelchT_t_Log,WelchT_df,WelchT_P_Log,WelchT_P_Log_Holm,RankSumP,RankSumP_Holm,HedgesG_Log,GeometricTimeRatio_vs_L3,TimeRatioCI95Low,TimeRatioCI95High,L3SlowdownFactor,L3SlowdownCI95Low,L3SlowdownCI95High
RAW,L1,C1,T1,NOM,T1/D0,C1_T1_L1_NOM,6,3,L1_T1_NOM_R06,1,1,COMPLETE,4.5650355,130,28.477325094186,2026-09-13 10:44:11.506,2026-09-13 10:44:18.554,,,0,4.60642414,0.112527900255677,4.57254905,2.44284713772963,4.52592652943772,4.68692175056228,28.2364822758735,0.683514312149514,0.381111479930845,0.0053543495986327,L1_vs_L3,-294.172189350967,11.5422066754125,9.96689191184197e-24,9.96689191184197e-24,0.00018267179110955,0.0014613743288764,-125.999022108596,0.0889269866368333,0.0873403883492266,0.0905424065746961,11.2451803194892,11.0445484920374,11.4494567622203
RAW,L1,C1,T1,DIST,T1/D1,C1_T1_L1_DIST,6,4,L1_T1_DIST_R06,1,1,COMPLETE,7.0269979,130,18.5000766828178,2026-09-13 10:44:19.186,2026-09-13 10:44:28.911,,,0,6.91311521,0.135388202911877,6.8797484,1.95842538131051,6.81626432406003,7.00996609593997,18.8112537131267,0.364158019834713,0.380821009388539,0.00580974195651908,L1_vs_L3,-348.029000681095,11.8062714413417,4.76751393979356e-25,1.21507108642722e-24,0.00018267179110955,0.0014613743288764,-149.066823237095,0.0994719708592174,0.0980425176387541,0.100922265410143,10.0530832088901,9.90861625961374,10.1996564764339
RAW,L1,C1,T2,NOM,T2/D0,C1_T2_L1_NOM,7,1,L1_T2_NOM_R07,1,1,COMPLETE,4.4914648,130,28.9437868910828,2026-09-13 10:44:29.563,2026-09-13 10:44:36.578,,,0,4.53290382,0.0590886955431089,4.5189874,1.30355061323822,4.49063431357844,4.57517332642156,28.6835303390534,0.370162129793339,0.0817589928855732,0.70234411503295,L1_vs_L3,-507.88843422509,17.1180358181785,3.29879625616959e-37,1.97927775370175e-36,0.00018267179110955,0.0014613743288764,-217.537375622816,0.0699765381123769,0.069208079492792,0.0707535293867377,14.2905040314237,14.1335705606149,14.4491800282386
RAW,L1,C1,T1,DIST,T1/D1,C1_T1_L1_DIST,7,2,L1_T1_DIST_R07,1,1,COMPLETE,6.845877,130,18.9895319474773,2026-09-13 10:44:37.220,2026-09-13 10:44:46.675,,,0,6.91311521,0.135388202911877,6.8797484,1.95842538131051,6.81626432406003,7.00996609593997,18.8112537131267,0.364158019834713,0.380821009388539,0.00580974195651908,L1_vs_L3,-348.029000681095,11.8062714413417,4.76751393979356e-25,1.21507108642722e-24,0.00018267179110955,0.0014613743288764,-149.066823237095,0.0994719708592174,0.0980425176387541,0.100922265410143,10.0530832088901,9.90861625961374,10.1996564764339
RAW,L1,C1,T1,NOM,T1/D0,C1_T1_L1_NOM,7,3,L1_T1_NOM_R07,1,1,COMPLETE,4.5150159,130,28.7928111172322,2026-09-13 10:44:47.310,2026-09-13 10:44:54.358,,,0,4.60642414,0.112527900255677,4.57254905,2.44284713772963,4.52592652943772,4.68692175056228,28.2364822758735,0.683514312149514,0.381111479930845,0.0053543495986327,L1_vs_L3,-294.172189350967,11.5422066754125,9.96689191184197e-24,9.96689191184197e-24,0.00018267179110955,0.0014613743288764,-125.999022108596,0.0889269866368333,0.0873403883492266,0.0905424065746961,11.2451803194892,11.0445484920374,11.4494567622203
RAW,L1,C1,T2,DIST,T2/D1,C1_T2_L1_DIST,7,4,L1_T2_DIST_R07,1,1,COMPLETE,6.8949629,130,18.8543436542639,2026-09-13 10:44:55.006,2026-09-13 10:45:04.544,,,0,6.96669766,0.140768962114217,6.92465105,2.02059812244266,6.86599761080527,7.06739770919473,18.6668197396919,0.363862047873568,0.0257751585056343,0.970483864483072,L1_vs_L3,-256.984610115906,17.3417362969231,1.68745995358328e-32,6.74983981433312e-32,0.00018267179110955,0.0014613743288764,-110.070940570564,0.0787300343699464,0.0771065833496194,0.0803876665600376,12.7016329664112,12.4397192105726,12.9690612209565
RAW,L1,C1,T1,NOM,T1/D0,C1_T1_L1_NOM,8,1,L1_T1_NOM_R08,1,1,COMPLETE,4.5011154,130,28.8817300707287,2026-09-13 10:45:05.190,2026-09-13 10:45:12.181,,,0,4.60642414,0.112527900255677,4.57254905,2.44284713772963,4.52592652943772,4.68692175056228,28.2364822758735,0.683514312149514,0.381111479930845,0.0053543495986327,L1_vs_L3,-294.172189350967,11.5422066754125,9.96689191184197e-24,9.96689191184197e-24,0.00018267179110955,0.0014613743288764,-125.999022108596,0.0889269866368333,0.0873403883492266,0.0905424065746961,11.2451803194892,11.0445484920374,11.4494567622203
RAW,L1,C1,T2,NOM,T2/D0,C1_T2_L1_NOM,8,2,L1_T2_NOM_R08,1,1,COMPLETE,4.4733757,130,29.0608275982722,2026-09-13 10:45:12.812,2026-09-13 10:45:19.804,,,0,4.53290382,0.0590886955431089,4.5189874,1.30355061323822,4.49063431357844,4.57517332642156,28.6835303390534,0.370162129793339,0.0817589928855732,0.70234411503295,L1_vs_L3,-507.88843422509,17.1180358181785,3.29879625616959e-37,1.97927775370175e-36,0.00018267179110955,0.0014613743288764,-217.537375622816,0.0699765381123769,0.069208079492792,0.0707535293867377,14.2905040314237,14.1335705606149,14.4491800282386
RAW,L1,C1,T1,DIST,T1/D1,C1_T1_L1_DIST,8,3,L1_T1_DIST_R08,1,1,COMPLETE,6.8286628,130,19.0374021689869,2026-09-13 10:45:20.453,2026-09-13 10:45:29.904,,,0,6.91311521,0.135388202911877,6.8797484,1.95842538131051,6.81626432406003,7.00996609593997,18.8112537131267,0.364158019834713,0.380821009388539,0.00580974195651908,L1_vs_L3,-348.029000681095,11.8062714413417,4.76751393979356e-25,1.21507108642722e-24,0.00018267179110955,0.0014613743288764,-149.066823237095,0.0994719708592174,0.0980425176387541,0.100922265410143,10.0530832088901,9.90861625961374,10.1996564764339
RAW,L1,C1,T2,DIST,T2/D1,C1_T2_L1_DIST,8,4,L1_T2_DIST_R08,1,1,COMPLETE,6.848467,130,18.9823503566565,2026-09-13 10:45:30.547,2026-09-13 10:45:40.037,,,0,6.96669766,0.140768962114217,6.92465105,2.02059812244266,6.86599761080527,7.06739770919473,18.6668197396919,0.363862047873568,0.0257751585056343,0.970483864483072,L1_vs_L3,-256.984610115906,17.3417362969231,1.68745995358328e-32,6.74983981433312e-32,0.00018267179110955,0.0014613743288764,-110.070940570564,0.0787300343699464,0.0771065833496194,0.0803876665600376,12.7016329664112,12.4397192105726,12.9690612209565
