Level,Trajectory,Quantity,Axis,Unit,MeanError,RMSE,MAE,P95AbsoluteError,MaximumError
L1,T2,Angular Rate,p,rad/s,-2.68295329147805e-06,0.00363805211546836,0.00290048402992578,0.0071188858985932,0.0155896283191212
L1,T2,Angular Rate,q,rad/s,4.94302926809274e-06,0.00358976086943155,0.00285857439147962,0.00707156403127562,0.0162010529908151
L1,T2,Angular Rate,r,rad/s,-5.02836355283726e-05,0.0036382473350083,0.00291027976123726,0.00711204419748013,0.0142320070120634
L1,T2,Acceleration,N,m/s^2,-0.00316655388145126,0.0469690875419499,0.0374881499050436,0.0925061241021432,0.196279189825451
L1,T2,Acceleration,E,m/s^2,0.000679872401473673,0.0475102092945165,0.0379747927633964,0.0931620490605221,0.186338295061262
L1,T2,Acceleration,D,m/s^2,-0.0360324255251061,0.0586000256617942,0.0474111496674493,0.113344595510156,0.221685628542534
L2,T2,Position,N,m,-0.0585787038082926,0.263527190802465,0.195821307644909,0.580258314334675,0.822187039253689
L2,T2,Position,E,m,-0.0694705982901223,0.332294964102835,0.244731901323161,0.751021521410611,0.942053803237832
L2,T2,Position,D,m,-0.0298410934735706,0.0728316877522151,0.0567237510534808,0.155692870586075,0.237653578197412
L2,T2,Velocity,N,m/s,-0.00374892002193715,0.0618567168362666,0.0494174369133578,0.11161284207092,0.13377639205021
L2,T2,Velocity,E,m/s,-0.000963432627697224,0.0540932897888089,0.0422983100824744,0.109539534298931,0.137447704281575
L2,T2,Velocity,D,m/s,-0.00350580590684313,0.0220950842770481,0.0168218544587197,0.0433663437148757,0.13426784835459
L2,T2,Attitude,Roll,deg,0.0167970899021905,0.0497423206430491,0.0403712459228036,0.0992691426833454,0.125718689322197
L2,T2,Attitude,Pitch,deg,0.0209543383823766,0.0495187733683216,0.0397411538606309,0.0971034349572672,0.137353131685842
L2,T2,Attitude,Yaw,deg,-0.0321309078921974,0.0698833740348871,0.0581184879102934,0.129912008285888,0.155066731138916
L2,T2,Angular Rate,p,rad/s,-2.06849173473025e-06,0.00363671204499634,0.00289907809817666,0.00711615680765537,0.0154401567073584
L2,T2,Angular Rate,q,rad/s,5.34213548077991e-06,0.0035896414283396,0.00285959914823665,0.00705697256028171,0.0161239286463479
L2,T2,Angular Rate,r,rad/s,-4.81931849250031e-05,0.00363727287531811,0.0029096451654785,0.0071277275667304,0.0140770329196198
L2,T2,Acceleration,N,m/s^2,-0.0027694412268903,0.0468509359183063,0.0373811444291813,0.0924124308099288,0.194826087527464
L2,T2,Acceleration,E,m/s^2,0.00109732458288974,0.0474396665751676,0.0379235818323919,0.0929633738578385,0.18691076936806
L2,T2,Acceleration,D,m/s^2,-0.0360048933728517,0.0585730266268378,0.0473929066485517,0.113202265784377,0.221418076008357
L3,T1,Position,N,m,-0.0603337920285964,0.2466847572291,0.200694639359995,0.446195152929436,0.682681939100753
L3,T1,Position,E,m,-0.117383039918281,0.273997137692969,0.208335347227711,0.586252674295602,0.810013764717038
L3,T1,Position,D,m,-0.042706846217277,0.0789465814557098,0.0612821537542451,0.165499994882798,0.237789746136803
L3,T1,Velocity,N,m/s,-0.0109502059951322,0.0513394736172482,0.0371383637693447,0.119515766767965,0.151610661149803
L3,T1,Velocity,E,m/s,-0.0187792097858739,0.0566007656069522,0.0431226681868761,0.125750991942042,0.164606295555559
L3,T1,Velocity,D,m/s,-0.00114244391183175,0.0203937478522613,0.0154659315782586,0.0440170100716247,0.0660084954744631
L3,T1,Attitude,Roll,deg,-0.0236906427888386,0.0572092311834576,0.0446069913861393,0.123589850662214,0.155625050055456
L3,T1,Attitude,Pitch,deg,-0.0338820434450583,0.0644234542192416,0.0511938175432342,0.12818082770744,0.159186217994789
L3,T1,Attitude,Yaw,deg,-0.0192586463702695,0.062804779777343,0.0513957250197494,0.120557430976008,0.179487060359011
L3,T1,Angular Rate,p,rad/s,-1.22027665599189e-05,0.00364838730657378,0.00291113665994176,0.00712476136331567,0.0155086522129072
L3,T1,Angular Rate,q,rad/s,-1.18174889526266e-06,0.00358398824460845,0.00285996917851045,0.00703673707435823,0.0147140829887104
L3,T1,Angular Rate,r,rad/s,-1.78791962680445e-05,0.00364995719106149,0.00291633141123317,0.00714219706411409,0.0141676723314575
L3,T1,Acceleration,N,m/s^2,-0.00781332021132778,0.048455962917288,0.0387121916536661,0.0948744421392883,0.180466765914819
L3,T1,Acceleration,E,m/s^2,-0.00263362880767139,0.0471712607507175,0.0376473267023087,0.0920030531995709,0.178057908971973
L3,T1,Acceleration,D,m/s^2,-0.0363847158647474,0.0588464692310424,0.0475820452822466,0.114312759939786,0.22304402059499
L3,T2,Position,N,m,-0.0975661816589207,0.281453463800055,0.226060047659307,0.571797188647226,0.727311871358459
L3,T2,Position,E,m,-0.0943955306410966,0.313127454055457,0.243729132047307,0.664457078217595,0.850222495512274
L3,T2,Position,D,m,-0.0568616769097653,0.125454733052885,0.0943645338816799,0.273909309745671,0.406232214771697
L3,T2,Velocity,N,m/s,-0.0233391433264164,0.0909278874899661,0.0599496450190491,0.183873766495245,0.380724909269007
L3,T2,Velocity,E,m/s,0.0131807502320315,0.0811794887154197,0.0553866967392929,0.199341444073505,0.301688699667228
L3,T2,Velocity,D,m/s,-0.000635771958007001,0.117327120302926,0.047713227235853,0.209743496001815,1.06764449502484
L3,T2,Attitude,Roll,deg,-0.0132566078350683,0.0837126170985158,0.0517295227591246,0.216932548343638,0.385007102894626
L3,T2,Attitude,Pitch,deg,0.0870080022460953,0.151465189720033,0.114635155564661,0.306474466328113,0.370919292010268
L3,T2,Attitude,Yaw,deg,0.0275294542557637,0.0738953451661736,0.0634002871009773,0.124193056944836,0.209494671377012
L3,T2,Angular Rate,p,rad/s,-1.17653305816626e-05,0.00364433537620515,0.00289887771371995,0.00717192754744145,0.0155591700315448
L3,T2,Angular Rate,q,rad/s,9.76987471475366e-06,0.00360404649443221,0.00286873047800191,0.00712320599747918,0.0161737198891721
L3,T2,Angular Rate,r,rad/s,-5.22772569490077e-05,0.00362365247558856,0.00290184289591776,0.00709197403756475,0.0141676723314575
L3,T2,Acceleration,N,m/s^2,0.0258178615144914,0.0657307722958299,0.0495908274953667,0.124378533941612,2.35417579507221
L3,T2,Acceleration,E,m/s^2,0.0147111182744546,0.0841298145990926,0.0444553480870034,0.108077027449683,7.70934251587309
L3,T2,Acceleration,D,m/s^2,-0.0187622666800348,0.558125906228184,0.0585810674153865,0.129764808349316,74.9255605537872
